User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
Ally,itssallymarie,I wanna be the one you remember  7/27/16 SLFL DETROIT  Mentally and physically in love with Calum Hood XI.VIII.XVI ,347,516,Tue Nov 08 23:59:59 +0000 2016,RT @AfroGumOfficiaI: Hillary Clinton doing the #MannequinChallenge on #ElectionDay  https://t.co/fGOnNfYXWQ,SLFL Auburn Hills,Yes,6740,0
F R A N C O I S,Franny_Tpk,The Connector | Management: @itskamaiyah | IG: francois_tpk | Snap: CoolstoryFranny | TheWilmoreGroup,1901,786,Tue Nov 08 23:59:59 +0000 2016,I'm not saying there is a better option than Hillary...but do you guys know why you are voting for her? Just curious, LA doe ,No,2,0
Drizzy,_Kareem12,,1018,679,Tue Nov 08 23:59:59 +0000 2016,RT @BangYaBrainsOut: if Hillary wins I'll PayPal everyone $100 that RTs this.,,Yes,33979,0
,yanesque,Papersnow..a ghost!!!,478,460,Tue Nov 08 23:59:59 +0000 2016,RT @sassytbh: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  https://t.co/bqMEchufZd,Singapore,Yes,482,0
Fran Tastic,4peaks94,,139,109,Tue Nov 08 23:59:59 +0000 2016,"RT @mitchellvii: Based upon exits, voters very unhappy with big money corruption.  That's bad for Hillary.",,Yes,1074,0
Dr. Thomas Paul,DrThomasPaul,"Past Life Therapy Center Founder/Therapist with #PastLivesTherapy Author, Dr. M. Netherton. http://t.co/UKKDen8aNC http://t.co/qtVNKmzpvl #pastliferegression",56154,55841,Tue Nov 08 23:59:59 +0000 2016,"RT @DrThomasPaul: .@HillarysAmerica is one of division, crime, #pharma &amp; riots.It's good for corrupt #BigBusiness.#gmo #Hillary #Trump
http",Los Angeles.Worldwide.Skype,Yes,74,0
K2,_KFrye,Cool like a yeti eating frozen spaghetti  #GoGators #RiseUp,534,456,Tue Nov 08 23:59:59 +0000 2016,RT @EvanFoerster: @_KFrye u like hillary?,Peach State,Yes,1,0
Ereka Armstead,erekaarmstead,Austin Ragusin,136,238,Tue Nov 08 23:59:59 +0000 2016,RT @rebel2187: Donald and Hillary made an appearance in US Gov today  https://t.co/zOJflct4WM,,Yes,23443,0
Thib,thiboteirlinck,,357,236,Tue Nov 08 23:59:59 +0000 2016,RT @DaiIyRap: Hillary Clinton doing the Mannequin Challenge https://t.co/yZXFZ1hNrn,,Yes,1461,0
Boston,BeatsBy777,Real recognize Real + i Create + LA // IE #PraiseYHWH #AK9P,674,558,Tue Nov 08 23:59:59 +0000 2016,RT @UglyGod: It means yall shoulda fuckin listened &amp; kept Bernie Sanders as an option cause now we all look dumb af choosing between Hillar,(Prod. 777),Yes,1220,0
Sen. H. $t. Cloud ,HeelStCloud,"I tweet A LOT! Mostly about Boston sports, Politics, and Wx. Future Speaker of the House. Drops, Fatty, and EP are cooler than you. Parfois, je parle Franais.",1195,648,Tue Nov 08 23:59:59 +0000 2016,"RT @Rokkaaaaa: I laugh at people whose main beef with Hillary is lying. Dude people lie everyday. Today, I lied and blamed metro for being","StupidIdiotVille, NH",Yes,4,0
leigha,LeighaCrumpler,,254,188,Tue Nov 08 23:59:59 +0000 2016,RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc,,Yes,5771,0
Tawan Buamuangkao,TarnTawanxx,,117,236,Tue Nov 08 23:59:59 +0000 2016,RT @billboard: Mother Monster wants you to vote.   https://t.co/988SkvrQOx https://t.co/CHliI37Ymk,,Yes,248,0
Susan Ruthe,ruthe_susan,I love my country and I'm heartbroken by the direction we are going.  I even joined twitter to pass some good and necessary info along. Th u for following.,1236,1790,Tue Nov 08 23:59:59 +0000 2016,"RT @Wil_Johnson1: In Kentucky and Indiana with just a little over 3% reporting, Trump is getting 2-1 votes over Hillary https://t.co/4wCD0Q",,Yes,1,0
Jennifer Tromans,JenTromans,"I am a photographer.  Not your typical Mom! I'm a Trekkie, a Scaper, a Browncoat, a Roswellian and a Stargazer.",1269,2254,Tue Nov 08 23:59:59 +0000 2016,"RT @Alex_Hxrrison: If Hillary wins then she is the first F president. Oops should've been female but the ""emale"" got deleted #ElectionDay #",,Yes,5,0
NHL Insider Dinger,atf13atf,"Wait, why is the Colorado Rockies mascot there? Five Guys worker.",1500,300,Tue Nov 08 23:59:59 +0000 2016,RT @souljaboy: I hope Hillary win fuck trump stupid ass,"Raleigh, NC",Yes,39419,0
CannaBitch,spidersformommy,All I can say is that I'm a dangerous combination of saltiness and anxiety,70,331,Tue Nov 08 23:59:59 +0000 2016,"If Hillary wins, I'm leaving the country.
If Trump wins, I'm leaving the country.
This has nothing to do with politics I just love 2 travel.","Huntington Beach, CA",No,0,0
Kelli Cook,keluttcu,Dallas model/actress-went to UT & TCU-ZTAsister- love football & all music I'm outgoing&fun-love Dallas Charity events & of course PINK&Fashion,878,1251,Tue Nov 08 23:59:59 +0000 2016,"RT @YoungDems4Trump: if you are still undecided:

Trump loves America.
Hillary hates Americans.

The choice is simple and clear.

#myvote20","Dallas, TX",Yes,1664,0
Hekla Goodman,heklagood,"Marketeer at @KitMapperHQ! I dig music, fitness, startup life and the rest of it all. Calling London home.",1454,291,Tue Nov 08 23:59:59 +0000 2016,"Plot Twist: Trump votes Hillary, and chuckles to himself in the booth.",all over the globe,No,0,1
cz,czareah_,,112,68,Tue Nov 08 23:59:59 +0000 2016,"RT @whytruy: *casts vote for Hillary* 
Hillary: Thank you for your vot-
Me: https://t.co/EjvxMWZD2c",somewhere ,Yes,37043,0
Degraz,dgraz007,"chef. Artist, Liberal, Democrat, #Imwithher",607,918,Tue Nov 08 23:59:59 +0000 2016,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https,Winchester ,Yes,65302,0
JillKyhn,sunshinejilly45,,137,606,Tue Nov 08 23:59:59 +0000 2016,"RT @YoungDems4Trump: Hillary should be tried for Treason. Not run for the President of the United States.

#ElectionDay
#MyVote2016",,Yes,750,0
Packersarelife,MarioHazelwood,"Packers, Yankees, Florida State, and Maryland Terps Basketball. But its all about the PACK #GOPACKGO",128,639,Tue Nov 08 23:59:58 +0000 2016,"RT @ZachAJacobson: Yes, I voted Hillary. You voted Trump? Nice. Won't change how I, or anybody else should view you. Great thing about Amer",,Yes,13,0
#CRNKCSTLE,coolstuffbynawk,Photographer & Videographer.                                     15 // [enawkk@gmail.com]                                   D,293,245,Tue Nov 08 23:59:58 +0000 2016,RT @philsadelphia: captain america voted for hillary so i think legally she should automatically win thank u https://t.co/cpkRZM1End,MD,Yes,27781,0
mel loves rin ,LESTERHICKEYS,a magical bean / beb they're's a keryboar / talk me down Rebecca / floof is pretty great / EMPBF / FIRKD BEAW TYPI BYT DUN blowology (rebecca's typos),804,365,Tue Nov 08 23:59:58 +0000 2016,RT @boreanazs: hillary and trump will never reach this level  https://t.co/H5WvbUT7ab,tatinof 5.1.16,Yes,21450,0
nina bautista-paddit,ninabautista,"Expat & Hollywood escapee. UK-US Events, Virtual Office/Project Mgmt. Fixer/Talent Wrangler @USCAlumni, @USCPrice @DGirlJay (Epega Media) @nbpsolutionsUK",318,1098,Tue Nov 08 23:59:58 +0000 2016,"RT @AFP: A large Hillary for America sign is displayed at the Jacob K. Javits Center in New York, where Clinton's #ElectionNight event is h",London - Los Angeles - VA,Yes,91,0
SaxMan,carybaskin,,445,1022,Tue Nov 08 23:59:58 +0000 2016,"RT @2ALAW: It's truly a sad day in America when we dismiss all the corruption, voting fraud committed as ""just politics""

#Hillary is disqu",USA,Yes,684,0
Carl D. Lynn,CDavidlynn,"Saved by Grace alone, Through Faith alone, In Christ alone, To Gods Glory alone, I chose 2 follow by whom my followers follow. i do this to protect my followers",463,836,Tue Nov 08 23:59:58 +0000 2016,Hillary Clinton: I Want a Supreme Court Justice Who Will Uphold Unlimited Abortion https://t.co/UfgCOjWXzC,Dallas  Texas,No,0,0
AMGR84,AMGR84,Klaroline is EPIC!,1041,1051,Tue Nov 08 23:59:58 +0000 2016,"@claireholt @elenaahh20 I VOTED FOR HILLARY!! I'AM WITH HER! 
VOTE GUYS!",,No,0,0
kiely,kielymarie26,voracious reader & art history enthusiast  undergrad @americanu ,140,381,Tue Nov 08 23:59:58 +0000 2016,"RT @misheardhamilto: and if you were to ask me who i'd promote?
hillary has my vote #ElectionDay","Washington, DC",Yes,426,0
Will,Kahless_72,,652,4998,Tue Nov 08 23:59:58 +0000 2016,RT @gerfingerpoken: Hillary Clinton's Failing Health a Real Concern https://t.co/OkDpwx6Jgf - #PJNET 999 - American Thinker - https://t.co/,,Yes,1,0
semperadlucem,semperadlucum,"Mom,Wife,Small business owner, registered Independent, NEW YORK.  Proud to have the courage to tweet in this CRAZY environment!!",76,463,Tue Nov 08 23:59:58 +0000 2016,"@cnn Dont worry u media made it very clear who u wanted as POTUS. Hillary is ur baby and u wanted to,protect her all the way.",,No,0,1
TRUMP WON~WINNING!,KeepEmAccntable,"~PRESIDENT  DONALD J.TRUMP~    
 ~TRUMP VICTORY!~    
  @realDonaldTrump     
  JOIN TRUMP TRAIN 
TRUMP WINS POPULAR VOTE TOO",413,730,Tue Nov 08 23:59:58 +0000 2016,"RT @weknowwhatsbest: I wish Hillary's ""Our Kids Are Watching"" speech would have been followed by a lovely song from her #1 supporter Jay Z.",AMERICAN CITIZENS STAND UNITED~ 1 NATION~UNDER GOD! ,Yes,750,0
delellis,zuvysypemufyw,"This is me: 353. Received, cannibalized, gorgeousness and splendor.",1640,109,Tue Nov 08 23:59:58 +0000 2016,Hillary - https://t.co/J433FXzTyd Stock Market Is Leaning Toward a Hillary Clinton Win,"AZ
",No,0,0
natalie kovacevich,natkovacevich,matthew Alan Baird,382,423,Tue Nov 08 23:59:58 +0000 2016,RT @LifeAsRednecks: Votin for Hillary just because shes a woman is like drinkin antifreeze just because it looks like Gatorade.,trump 2k16,Yes,2408,0
The Second Half Vols,BadNewsVols,#Dobbs4President East Tennessean just a dysfunctional vet probably drunk who enjoys shit talk. long walks in the mountains #Lawman #ThinBlueLine,474,436,Tue Nov 08 23:59:58 +0000 2016,This is almost worse than watching a Tennessee game fuck my life and fuck Hillary.,,No,0,4
Deplorable Jim,jimmybelshe,#boycottNFL #Trump2016,212,507,Tue Nov 08 23:59:58 +0000 2016,RT @DRUDGE_REPORT: VIDEO: CNN Reporter Shocked Female Voter Not Excited for Hillary... https://t.co/aZtk3j2TsN,Western Colorado,Yes,819,0
Bear Oyo,bear_oyo,Just a Dog living in a human World.,611,708,Tue Nov 08 23:59:58 +0000 2016,"RT @ProfessorF: Wow another example of Hillary's ""superior"" ground game. That's brilliant. Having election officials tell people who to vot",A backyard somewhere ,Yes,31,0
gruvvy,gruvvywave,To use a few words of a great man I have a dream.... that one day we all will live up to Martin Luther King Jr.'s dream!,81,238,Tue Nov 08 23:59:58 +0000 2016,Hillary Clinton is privately against gay marriage https://t.co/vgWFzoErKT by #wikileaks via @c0nvey,I'm n between dazed & confused,No,0,0
Chris Lenahan,LenahanChris,,56,84,Tue Nov 08 23:59:58 +0000 2016,RT @weknowwhatsbest: Exit polling shows that Hillary has completely lost the 3rd trimester vote.,,Yes,1045,0
Ronald Paul,iamronaldpaul,Unabashedly Proud American; Conservative; Strict Constitutionalist,709,668,Tue Nov 08 23:59:58 +0000 2016,"RT @KingsandLords: @Slate @votecastr @LilSteelerGirl @DebAlwaystrump @Kerri1111 
TRUMP 52%
HillARY 43%
JOHNSON 3%
UNDECITED 2%
USA LANDSLID",,Yes,20,0
Dwayne Rodgers,ecwpunk81,"liberal,punk,stephhead @smshow stl blues
@impactwrestling  Ecw,roh,wwe,njpw,@Cardinals, cav's,soa,ska
@Reelbigfish,LgbtQ,nofx,#imwithher
unite blue,dog person",1588,4986,Tue Nov 08 23:59:58 +0000 2016,RT @HillaryforOH: Ohio polls are open until 7:30pmfind your voting location at https://t.co/2otkpVPJlw and go cast your ballot for Hillary,"Missouri, USA",Yes,55,0
VICTORY4TRUMP,chrgdup1973,"The #TrumpMovement became Americas reality! #PresidentElectDonaldTrump #WakeUpAmerica F/B Hannity, Bolling, D'Souza- Best of Fox!
#BasketOfDeplorables",16005,8695,Tue Nov 08 23:59:58 +0000 2016,"RT @DabneyPorte: #ElectionNight #ExitPolls 

45% who dislike both Trump and Hillary voted for TRUMP w only 27% choosing Hillary. 

WE A",#TrumpTrainLasVegas,Yes,388,0
Rihsus.,iDreamRihanna,She's an accomplished music superstar and an illustrious fashion mogul. The icon and young legend @Rihanna.,26599,4853,Tue Nov 08 23:59:58 +0000 2016,"RT @MTVstyle: Rihanna wore a t-shirt of HERSELF wearing a Hillary Clinton t-shirt because SHE IS THE STYLE ICON OUR NATION NEEDS:

https://",Neverland,Yes,413,0
Ally,allycook108,PWSI '01 NPL #26 || Chancellor Varsity #16,256,194,Tue Nov 08 23:59:58 +0000 2016,RT @laneonme: and if you vote hillary make sure you tell all your friends and family in the military that you support her &amp; what she did wi,,Yes,6,0
Patrick Albino,patrickjalbino,"Cavalier scribbler, earnest parent, tolerable cook.",108,90,Tue Nov 08 23:59:58 +0000 2016,RT @JoyAnnReid: Hillary Clinton being tied among white voters with a college degree is actually a huge swing toward Democrats. #ExitPolls,,Yes,495,0
Joel Chury,GJoelChury,"Financial writer, wrestling promoter, producer, and adequate father. My views are my own.",2120,396,Tue Nov 08 23:59:58 +0000 2016,RT @mitchellvii: All of these early media predictions assume Hillary is getting all the Dem votes and ignoring Trumps advantage with Indies.,"Calgary, Alberta",Yes,833,0
Bella,BustosBella,Bella why you do me like that ?,887,565,Tue Nov 08 23:59:58 +0000 2016,"RT @JuiceTha56: Will Hillary make pants suits mandatory? 

Will Trump build a wall on Mexicos border? 

Find out tomorrow on the season fin",,Yes,125833,0
Emily,hostagehoosier,gun totin' God clingin' talk radio listenin' free speakin' Midwest lovin' Libertarian leanin' Hoosier Mama on a Rampage in DC,3100,960,Tue Nov 08 23:59:58 +0000 2016,@mamaswati lady with the hillary sticker looked genuinely shocked when i glared at her after she asked if I wanted a sample dem ballot.,LoCo Bunker,No,0,0
Dennis&Vakia,_3Digital,BestFriends4L We Just Wanna Be Great! #TFL053,107,121,Tue Nov 08 23:59:58 +0000 2016,"RT @The__Prototype: Hillary: So y'all only with me cuz y'all hate Trump?

Us: https://t.co/zqfFCAAOAV",Everywhere,Yes,73399,0
savvy,alessiasrocket,,1100,916,Tue Nov 08 23:59:58 +0000 2016,IF YALL DON'T VOTE FOR HILLARY,windy city | peyton,No,0,5
Leah,princessle4h,20 | UW |  | sc: luuumps | ig: princessle4h | USC Events Promoter,284,220,Tue Nov 08 23:59:58 +0000 2016,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https,"Seattle, WA",Yes,65302,0
Princess Lolly ,AmbieeJojo,My eyes are glazed because I've been eating donuts. #Mommy #BLACKLIVESMATTER,172,133,Tue Nov 08 23:59:58 +0000 2016,"RT @whytruy: *casts vote for Hillary* 
Hillary: Thank you for your vot-
Me: https://t.co/EjvxMWZD2c",803,Yes,37043,0
elitelena,Lenka_,,36,105,Tue Nov 08 23:59:58 +0000 2016,"RT @FrankLuntz: In case I wasn't clear enough from my previous tweets:

Hillary Clinton will be the next President of the United States.  #",,Yes,5389,0
Jess,jezzybees,"Opinionated, liberal, Christian, nerdy lass, who loves tv, movies, a good cause. 2 felines and canine. #MajorCrimes #ImWithHer #coexist #trekkie",312,384,Tue Nov 08 23:59:58 +0000 2016,"Chris Wallace just asked ""what if Hillary flips GA?""  @ashiebaker and @MelaninDSass will lose their chill is what will happen!",South Carolina,No,0,3
CIC,sbca80,California Progressive.,846,919,Tue Nov 08 23:59:58 +0000 2016,RT @TheEconomist: Donald Trump's reckless foreign policy could unleash chaos https://t.co/kJPHr47hHn https://t.co/VhOjRhE6br,California,Yes,57,0
02|11 ,llylahh__,kajc ,444,282,Tue Nov 08 23:59:58 +0000 2016,RT @FreddyAmazin: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  https://t.co/UFcFkP6js1,,Yes,8793,0
fran,FranCarmichael,snapchat- fran.c01,381,301,Tue Nov 08 23:59:58 +0000 2016,"RT @NathanZed: my 7 year old cousin just now: is Hellen Keller winning 
me: what
cousin: Hellen Keller
me: Hillary Clinton? 
cousin: I dont","Plymouth, MI",Yes,29718,0
honeydipped,_ariannneeezy,FDT,510,949,Tue Nov 08 23:59:58 +0000 2016,"RT @whytruy: *casts vote for Hillary* 
Hillary: Thank you for your vot-
Me: https://t.co/EjvxMWZD2c",,Yes,37043,0
riah,HansonbooRiah,IHS,338,259,Tue Nov 08 23:59:57 +0000 2016,RT @jozenc: Why Hillary greet all her black friends like she thought they weren't coming to her party? https://t.co/Id0avyHnMZ,,Yes,8492,0
Colin,Colin____17,Contributor to @GetAlternative; Duquesne Law '19. Diehard #Mets fan.,187,672,Tue Nov 08 23:59:57 +0000 2016,#WTFAmericaIn5Words Hillary Clinton and Donald Trump,"Pittsburgh, PA by way of NJ",No,10,38
Kris(sy) Kringle ,_KrissyGomez,Leader of the Lonely Hearts Club ,1022,975,Tue Nov 08 23:59:57 +0000 2016,"RT @JuiceTha56: Will Hillary make pants suits mandatory? 

Will Trump build a wall on Mexicos border? 

Find out tomorrow on the season fin",Texas,Yes,125833,0
Jarrod Burks,Bungalow0,,51,26,Tue Nov 08 23:59:57 +0000 2016,@anonymous585446 Guam. Hillary 72%,"Texas, USA",No,0,0
Judy Driggers,DriggersJudy,#OurRevolutionContinues #NotMeUs #NoToOligarchy #NODAPL,1808,2476,Tue Nov 08 23:59:57 +0000 2016,"RT @suziedaud: #DNCLeak2 
Hillary's staffers discussing Bill &amp; Epsteins #LolitaExpress with underage girls on way to ""Orgy Island""
https://","North Carolina, USA",Yes,3747,0
Trisha_Solly,Trisha_Solly,"Begin each day with a smile, Loves to do things for charity, Also loves Zumba, Running and to read, Susanna Reid is my inspiration",859,1579,Tue Nov 08 23:59:57 +0000 2016,I have a feeling Hillary will do this and become the President of America #ElectionNight,London,No,0,3
,iridescentnoir,nigerian   uc merced '19  #blacklivesmatter,780,427,Tue Nov 08 23:59:57 +0000 2016,"RT @The__Prototype: Hillary: So y'all only with me cuz y'all hate Trump?

Us: https://t.co/zqfFCAAOAV",san diego,Yes,73399,0
Russell,russmove,,5206,5472,Tue Nov 08 23:59:57 +0000 2016,RT @mitchellvii: All of these early media predictions assume Hillary is getting all the Dem votes and ignoring Trumps advantage with Indies.,,Yes,833,0
mikhaelarry ,twinkIouis,Harry and Louis,20886,107,Tue Nov 08 23:59:57 +0000 2016,RT @ParksAndRecPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/1kSRUaxGAw,,Yes,3747,0
The Mad Hessian,TheMadHessian,"Westsylvania Bureau Chief, #TGDN, Mechanical Engineering Grad-Leed AP, Scientist, #Pirates, #Steelers, #Penguins, #PITT, Onward #ChristianSoldiers",5680,5692,Tue Nov 08 23:59:57 +0000 2016,"RT @DailyMail: With 1.54% reporting in Kentucky: 

 Trump 68% 
 Hillary 28%

https://t.co/GMVxvJS7cN #ElectionNight","AK-Valley, PA",Yes,142,0
AJ Thompson,Thompson1226,I frequently listen to Toby Keith,430,139,Tue Nov 08 23:59:57 +0000 2016,"I voted for Hillary, don't @ me",Indiana,No,0,4
I'm an unicorn,annyglop23,,47,428,Tue Nov 08 23:59:57 +0000 2016,"RT @Latina_pe: Boca de urna- New Hampshire: Donald Trump: 52% 
Hillary Clinton: 41% #EleccionesEEUU #ElectionDay https://t.co/uhnyqN3ZuC",Lima,Yes,10,0
DeplorableUniversity,UniversityWatc1,"Watching what harebrained idiocy is creeping out of tertiary institutions to bedevil the rest of us. I get the message out. Retweet, swear.",4796,3501,Tue Nov 08 23:59:57 +0000 2016,"RT @_HankRearden: I live in deep blue Boulder, in probably the bluest neighborhood. I've seen literally two Hillary signs total. The energy",3 Continents,Yes,119,0
Pace e Bene,cmpnwtr,Peace and Well-being. Unity over division. #Hillary #Obama,2162,2279,Tue Nov 08 23:59:57 +0000 2016,"RT @FrankLuntz: The numbers I'm getting now suggest a nationwide turnout that strongly favors Hillary.

And if Hillary does well, so will d",,Yes,2052,0
ella,elllaavalentine,fihs | leo | islander,36,105,Tue Nov 08 23:59:57 +0000 2016,RT @Cj15ive: if you vote for Hillary unfollow me,"Fleming Island, FL",Yes,8,0
phi,luminouslylit,get wrekt,1257,424,Tue Nov 08 23:59:57 +0000 2016,"RT @HillaryClinton: This one's for you, Hillary. https://t.co/KtzpIpSziO",,Yes,25294,0
Jeanne Tall,jeanne_tall,,239,166,Tue Nov 08 23:59:57 +0000 2016,"RT @Caveman2743: RED ALERT: On Eve of Election, Benghazi BOMBSHELL Rains Down on Hillary https://t.co/rGox20vXgM",,Yes,18,0
Berkley,berkleyparton,fearfully & wonderfully made,271,516,Tue Nov 08 23:59:57 +0000 2016,"RT @NRich_5: If Hillary Clinton takes an early lead tomorrow nobody stress out, its just the Trump supporters haven't got off work yet",TX,Yes,22225,0
S. Lovelace,SLovelace76,Southern Lady! My Country God 1st N Life-My Dog & Cat. Football SEC! Conservative Lady Right To Bear Arms  & Good Music Country & Blues(All),262,775,Tue Nov 08 23:59:57 +0000 2016,RT @PrisonPlanet: More vote fraud in Philly. Dems handing out Hillary propaganda INSIDE polling station. https://t.co/CheWoAprKO,The South & Proud Of It!,Yes,1493,0
